state,district,block,village,lgd_code
Madhya Pradesh,Barwani,Sendhwa,Doklyapani,934981
Madhya Pradesh,Barwani,Pansemal,Dolarjhar Amba,478468
Madhya Pradesh,Barwani,Niwali,Dondwada,478531
Madhya Pradesh,Barwani,Niwali,Dongalyapani,478519
Madhya Pradesh,Barwani,Sendhwa,Dongargaon,478593
Madhya Pradesh,Barwani,Pati,Donglyapani,478133
Madhya Pradesh,Barwani,Pati,Dongriya Khodra,478136
Madhya Pradesh,Barwani,Pansemal,Donwada,478449
Madhya Pradesh,Barwani,Varla,Dudhkheda,478670
Madhya Pradesh,Barwani,Varla,Dugani,478669
Madhya Pradesh,Barwani,Pati,Edari,478161
Madhya Pradesh,Barwani,Barwani,Ekalara,478011
Madhya Pradesh,Barwani,Rajpur,Ekalbara,478323
Madhya Pradesh,Barwani,Anjad,Fatyapur,478278
